station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Perth Norwich Union,56.38611935,-3.464092253,341345,37814,2025-03-23 08:00:00,26.6,26.6,30,66192010,0,250
Picketlaw Reservoir,55.73611493,-4.281846657,115632,35900,2025-03-23 07:00:00,6.2,6.2,10,66063010,0,59
Pluscarden Abbey,57.59946107,-3.433170424,486057,38110,2025-03-23 08:00:00,13.4,13.4,20,66226010,0,191
Polhollick,57.05514629,-3.083180673,234294,37460,2025-03-23 08:00:00,8.2,8.2,10,66131010,0,126
Polloch,56.75844885,-5.613663683,234295,37466,2025-03-23 08:00:00,6.6,6.6,10,66132010,0,71
Polmonthill STW,55.99776804,-3.680208641,15187,37056,2025-03-23 08:00:00,15,15,20,66107010,0,157
Portling,54.87093795,-3.744601282,115634,35908,2025-03-23 08:00:00,7.4,7.4,10,66040010,0,56
Prestwick,55.50523784,-4.610940702,344764,37826,2025-03-23 08:00:00,3.6,3.6,5,66194010,0,146
Quarry Head,57.63465034,-2.025944065,335575,37660,2025-03-23 08:00:00,9.8,9.8,10,66155010,0,150
Quinloch Farm,56.0079586,-4.377500029,115638,35912,2025-03-23 08:00:00,4.8,4.8,5,66041010,0,223
Rest and be Thankful,56.22216848,-4.859016846,485490,38106,2025-03-23 07:00:00,10.8,10.8,20,66225010,0,99
Rhian Bridge,58.11499626,-4.439159665,115390,35708,2025-03-23 08:00:00,1.4,1.4,5,66003010,0,269
Rhiconich,58.42139172,-4.991227379,336217,37734,2025-03-23 08:00:00,6.2,6.2,10,66181010,0,260
RhynieGS,57.3317252,-2.828953912,368013,37926,2025-03-23 07:00:00,4.8,4.8,5,66208010,0,257
Ross Priory,56.05257642,-4.55746111,133124,36206,2025-03-23 07:00:00,5.2,5.2,10,66054010,0,235
Rossie Farm,56.29912602,-3.202717904,15070,36924,2025-03-23 07:00:00,11.2,11.2,20,66091010,0,40
Rothienorman,57.40900118,-2.466784574,115239,35572,2025-03-23 07:00:00,8,8,10,65981010,0,54
Saline,56.12224003,-3.585958925,15155,37020,2025-03-23 07:00:00,18.2,18.2,20,66101010,0,225
Saughall,55.60098751,-4.226431521,115645,35916,2025-03-23 07:00:00,6,6,10,66042010,0,273
Scardroy No3,57.51892459,-4.985935657,347562,37834,2025-03-23 08:00:00,0,0,0,66195010,0,60
Sgodachail,57.89327664,-4.546976399,234305,37488,2025-03-23 07:00:00,2.2,2.2,5,66133010,0,203
Shiplaw,55.72796917,-3.207291434,14975,36770,2025-03-23 07:00:00,5.8,5.8,10,66168010,0,3
Shotts WWTW,55.81395203,-3.811987501,494255,38148,2025-03-23 08:00:00,4.2,4.2,5,66232010,0,134
Slamannan,55.94205217,-3.832217321,464630,38050,2025-03-23 08:00:00,8.8,8.8,10,66219010,0,112
Sluggan,57.27399763,-3.875997348,234314,37510,2025-03-23 08:00:00,10.2,10.2,20,66134010,0,31
Solwaybank,55.08629786,-3.086937218,115647,35920,2025-03-23 08:00:00,8.6,8.6,10,66043010,0,122
Sorbie,54.79252816,-4.42628864,115648,35924,2025-03-23 08:00:00,10.2,10.2,20,66044010,0,231
South Moorhouse,55.73251416,-4.350287842,115649,35928,2025-03-23 08:00:00,7.6,7.6,10,66045010,0,85
Spey Dam,57.01121062,-4.336367491,234315,37514,2025-03-23 08:00:00,5.4,5.4,10,66135010,0,268
St Monance,56.2047855,-2.78271364,335620,37684,2025-03-23 07:00:00,6.4,6.4,10,66174010,0,274
